6899 conc. (in ug/ml)	6899 + FLC (4) dt	6899 + FLC (4) dt	6899 + FLC (2) dt	6899 + FLC (2) dt	6899 + FLC (1) dt	6899 + FLC (1) dt	FLC dt	FLC dt
100	1.105348977	1.214924773	1.097536669	1.20528416	1.002024042	1.072683714		
50	1.058876804	1.183525897	1.077506748	1.183782371	1.000267548	1.122665883		
25	1.007819044	1.08599568	1.043709624	1.038846581	0.997623405	1.028798156		
12.5	1.007195861	1.020504485	1.012894682	1.033352383	1.008930951	1.030474258		
8							1.011989486	1.022198415
6.25	1.017173923	1.050262567	1.016439672	1.032254459	0.999069113	1.033352383		
4							1.015918356	1.057066598
3.125	1.017279239	1.040012411	1.019623453	1.060325962		1.025521398		
2							1.010350272	1.023198983
1.56	1.016753718	1.0160467	1.015451393	1.025448063	0.998980903	1.021207052		
1							1.015606814	1.040263832
